[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 4119.182763760882, Score, 69.33333333333334,sConstrainedRandomWalk,Cost, 103.9976342301246, Score, -69.33333333333334, PathLength, 207.0,
hMaxDistance,Cost, 831.54421743362, Score, 43.32000000000001,sConstrainedRandomWalk,Cost, 64.92505105153126, Score, -43.32000000000001, PathLength, 128.0,
hRandom,Cost, 17.074166527301475, Score, 41.07000000000001,sConstrainedRandomWalk,Cost, 63.41771600785659, Score, -41.07000000000001, PathLength, 122.0,
hRandomDirection,Cost, 8.435202911566263, Score, 40.90333333333333,sConstrainedRandomWalk,Cost, 63.65647315616603, Score, -40.90333333333333, PathLength, 121.0,
hRandomSet,Cost, 13.534366100441105, Score, 50.04333333333334,sConstrainedRandomWalk,Cost, 77.5033282742547, Score, -50.04333333333334, PathLength, 149.0,
hRandomFixedDistance,Cost, 74.01945968526734, Score, 44.86333333333332,sConstrainedRandomWalk,Cost, 69.41106837314918, Score, -44.86333333333332, PathLength, 133.0,
hLowEdgeCostRandomFixedDistance,Cost, 56.386120897784195, Score, 47.6,sConstrainedRandomWalk,Cost, 73.97064162178887, Score, -47.6, PathLength, 141.0,
hMinimumConnectivity,Cost, 7167.563555548056, Score, 69.7266666666667,sConstrainedRandomWalk,Cost, 108.64404238545163, Score, -69.7266666666667, PathLength, 208.0,
hMaxDistance,Cost, 859.5594532664568, Score, 46.20666666666666,sConstrainedRandomWalk,Cost, 71.4225460713675, Score, -46.20666666666666, PathLength, 137.0,
hRandom,Cost, 18.75239003593757, Score, 43.62333333333335,sConstrainedRandomWalk,Cost, 68.25132225392971, Score, -43.62333333333335, PathLength, 129.0,
hRandomDirection,Cost, 9.013434327156645, Score, 44.54666666666667,sConstrainedRandomWalk,Cost, 69.89395924256517, Score, -44.54666666666667, PathLength, 132.0,
hRandomSet,Cost, 15.623684929524336, Score, 48.05333333333333,sConstrainedRandomWalk,Cost, 75.4878406162783, Score, -48.05333333333333, PathLength, 143.0,
hRandomFixedDistance,Cost, 47.554452887969326, Score, 49.59333333333332,sConstrainedRandomWalk,Cost, 78.41050776035762, Score, -49.59333333333332, PathLength, 147.0,
