[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 17.760481704858602, Score, 144.63870967741926,sConstrainedRandomWalk,Cost, 113.16201040606798, Score, -144.63870967741926, PathLength, 223.0,
hRandomDirection,Cost, 8.976534955069344, Score, 145.8451612903226,sConstrainedRandomWalk,Cost, 113.24710489672381, Score, -145.8451612903226, PathLength, 225.0,
hRandomSet,Cost, 20.616397973126297, Score, 191.97419354838703,sConstrainedRandomWalk,Cost, 150.15310899354267, Score, -191.97419354838703, PathLength, 296.0,
hRandomFixedDistance,Cost, 59.44844970588929, Score, 157.08387096774194,sConstrainedRandomWalk,Cost, 122.52823009666423, Score, -157.08387096774194, PathLength, 242.0,
hLowEdgeCostRandomFixedDistance,Cost, 18.305344527011638, Score, 172.57419354838711,sConstrainedRandomWalk,Cost, 135.294715786289, Score, -172.57419354838711, PathLength, 266.0,
hMinimumConnectivity,Cost, 51.71883100359171, Score, 227.55483870967728,sConstrainedRandomWalk,Cost, 177.8885018205354, Score, -227.55483870967728, PathLength, 351.0,
hMaxDistance,Cost, 902.3619764715498, Score, 155.85161290322586,sConstrainedRandomWalk,Cost, 121.53924981185483, Score, -155.85161290322586, PathLength, 240.0,
hRandom,Cost, 18.48634159655416, Score, 199.07746478873233,sConstrainedRandomWalk,Cost, 133.04640678336858, Score, -199.07746478873233, PathLength, 281.0,
hRandomDirection,Cost, 10.002974183948508, Score, 192.4507042253521,sConstrainedRandomWalk,Cost, 128.29789035640405, Score, -192.4507042253521, PathLength, 272.0,
hRandomSet,Cost, 23.54432082651056, Score, 251.49999999999997,sConstrainedRandomWalk,Cost, 166.61032737179724, Score, -251.49999999999997, PathLength, 356.0,
hRandomFixedDistance,Cost, 42.92550828572325, Score, 205.8450704225352,sConstrainedRandomWalk,Cost, 136.21591045514913, Score, -205.8450704225352, PathLength, 291.0,
hLowEdgeCostRandomFixedDistance,Cost, 66.88616375693066, Score, 227.77464788732397,sConstrainedRandomWalk,Cost, 151.2640718505611, Score, -227.77464788732397, PathLength, 322.0,
hMinimumConnectivity,Cost, 47.82069037409633, Score, 316.2676056338029,sConstrainedRandomWalk,Cost, 211.38290413487027, Score, -316.2676056338029, PathLength, 448.0,
hMaxDistance,Cost, 947.9689002901687, Score, 206.8309859154929,sConstrainedRandomWalk,Cost, 137.15164822248838, Score, -206.8309859154929, PathLength, 292.0,
hRandom,Cost, 21.46642950671558, Score, 183.33566433566426,sConstrainedRandomWalk,Cost, 130.61504641130009, Score, -183.33566433566426, PathLength, 261.0,
hRandomDirection,Cost, 10.999740430672887, Score, 165.21678321678323,sConstrainedRandomWalk,Cost, 117.66836496845923, Score, -165.21678321678323, PathLength, 235.0,
hRandomSet,Cost, 27.210171099675918, Score, 222.9580419580418,sConstrainedRandomWalk,Cost, 159.5241663481566, Score, -222.9580419580418, PathLength, 317.0,
hRandomFixedDistance,Cost, 11.201551453905715, Score, 176.29370629370638,sConstrainedRandomWalk,Cost, 124.83844752256942, Score, -176.29370629370638, PathLength, 251.0,
hLowEdgeCostRandomFixedDistance,Cost, 17.25211418447282, Score, 202.9020979020979,sConstrainedRandomWalk,Cost, 146.15522193632566, Score, -202.9020979020979, PathLength, 289.0,
hMinimumConnectivity,Cost, 50.809897296752524, Score, 256.1048951048951,sConstrainedRandomWalk,Cost, 183.32218713734784, Score, -256.1048951048951, PathLength, 365.0,
hMaxDistance,Cost, 10.896246408268011, Score, 175.4475524475525,sConstrainedRandomWalk,Cost, 125.4613107676711, Score, -175.4475524475525, PathLength, 249.0,
hRandom,Cost, 22.96326406543648, Score, 183.44525547445252,sConstrainedRandomWalk,Cost, 125.28891634940175, Score, -183.44525547445252, PathLength, 250.0,
